Username (Account ID),State,District,Area,Median No of transactions ,Average No of transactions ,lowestof trans,Median Amount,Average Amount,lowestof amount,TYPE,Gender,Active,Blocked,Suspended,Unused Balance,NO OF DAYS SINCE LAST DEPOSIT ,NO OF DAYS SINCE device creation,NO OF DAYS SINCE onboarded,Status,Status2
Correspondence2 (006365),Federal Capital Territory,Wuse 2,Maitama,189,179,179,1626090,1553990,1553990,Regular,Male,Yes,No,No,13950.58,6,1028,1028,good,bad
sabimen1933 (014720),Lagos,Surulere,Aguda,298,297,297,2741670,3100682,2741670,Regular,Male,Yes,No,No,15758.255,6,472,472,good,bad
Rightpos (019538),Lagos,Oshodi-Main,Okota,559,556,556,5185750,5889442,5185750,Regular,Female,Yes,No,No,46920.38333,165,326,326,good,good
Belimarsh17 (005964),Abia,Umuahia South,Abam,555,642,555,2249975,2610124,2249975,Regular,Female,Yes,No,No,18371.301,2,1063,1063,good,bad
Albayyanpos (013545),Federal Capital Territory,Kubwa,Bwari,818,848,818,6271668,6350987,6271668,Regular,Female,Yes,No,No,35021.80075,50,495,495,good,good
Sabimen3529 (014956),Lagos,Ibeju-Lekki,Ajah,300,284,284,1212205,1488784,1212205,Regular,Male,Yes,No,No,10009.39,26,458,458,good,good
Simosint (000797),Lagos,Eti Osa West,Eti osa,3,96,3,35560,448349,35560,Regular,Male,Yes,No,No,-4399.99857,180,914,1670,bad,bad
SABIMEN2551 (014714),Federal Capital Territory,Kubwa,Bwari,0,70,0,0,395371,0,Regular,Female,Yes,No,No,3399.25,421,465,465,bad,bad
Sabimen297 (010982),Lagos,Ojo,Alabarago,401,356,356,3237305,2802029,2802029,Regular,Male,Yes,No,No,1083.11,56,542,542,good,good
Ventura (001245),Lagos,Ibeju-Lekki,Lekki,0,313,0,0,1064406,0,Regular,Male,Yes,No,No,-4949.58,182,1588,1588,bad,bad
Odemakpore (006192),Delta,Ughelli south,Eghwu,327,387,327,625915,762162,625915,Regular,Male,Yes,No,No,771.86,5,1048,1048,good,bad
SABIMEN468 (011461),Lagos,IKorodu,Agric,508,531,508,2767210,2973562,2767210,Regular,Male,Yes,No,No,18418.5225,1,539,539,good,bad
InelsPos (009830),Akwa Ibom,Oron,Oron,217,219,217,1787540,1742739,1742739,Regular,Male,Yes,No,No,108843.235,47,563,563,good,good
Oyenusipos (017951),Lagos,Ajegunle,Ajegunle,461,484,461,3583830,3818707,3583830,Regular,Male,Yes,No,No,19666.77875,283,381,381,good,good
SABIMEN2927 (015204),Rivers,Obio/Akpor,Artillery,189,191,189,1239520,1226337,1226337,Regular,Female,Yes,No,No,16085.702,83,461,461,good,good
RobertsPos (012659),Lagos,Apapa,Olodi,653,472,472,1909600,1475189,1475189,Regular,Female,Yes,No,No,-3442.28449,335,336,523,bad,bad
ololade33pos (013699),Ogun,Itele,Itele,443,436,436,2170540,2596060,2170540,Regular,Male,Yes,No,No,28353.6585,8,431,490,good,good
Sabimen684 (012212),Lagos,Kosofe,Ketu,525,537,525,2229460,2392265,2229460,Regular,Male,Yes,No,No,4401.687,2,538,538,good,bad
Tonnex1 (004404),Edo,Esan West,Ekpoma,603,613,603,1551750,1641612,1551750,Regular,Male,Yes,No,No,76408.78,3,1251,1251,good,bad
Morcas (010116),Lagos,Apapa,Olodi,135,178,135,631000,754717,631000,Regular,Male,Yes,No,No,-3992.8298,136,581,581,bad,bad
Lucyowolabipos (016360),Lagos,Amuwo Odofin,Satellite town,438,475,438,3253610,3087930,3087930,Regular,Female,Yes,No,No,133099.8475,16,460,460,good,good
Jestinycafe (003539),Anambra,Onitsha South,Upper Iweka,927,919,919,1399780,1497680,1399780,Regular,Male,Yes,No,No,39286.56244,0,815,1306,good,bad
AFRIVOGUEPOS6 (009350),Ebonyi,Abakaliki,Abakaliki-enugu Highway,33,108,33,198559,589112,198559,Regular,Female,Yes,No,No,-1755.04635,202,664,664,bad,bad
Belimarsh14 (005960),Abia,Umuahia South,Abam,284,237,237,929710,885659,885659,Regular,Male,Yes,No,No,58547.8761,3,1063,1063,good,bad
Tignasun02 (005762),Enugu,Enugu North,Holy Ghost,1126,1092,1092,2357799,2359650,2357799,Regular,Male,Yes,No,No,96786.04,1,1076,1076,good,bad
GOLDENPOS (016814),Lagos,Oshodi-Main,Ajao estate,215,310,215,2091610,3220784,2091610,Regular,Female,Yes,No,No,18540.34,11,430,430,good,good
PREGLAMMY (002791),Anambra,Idemili North,Obosi,256,287,256,1336920,1177573,1177573,Regular,Female,Yes,No,No,3209.702,2,1377,1377,good,bad
deyone (005466),Akwa Ibom,Uyo 2,Oron Road,297,471,297,995700,1713893,995700,Regular,Male,Yes,No,No,-174.8,76,1081,1081,bad,bad
SABIMEN1020 (010784),Lagos,Sango,Sango,0,107,0,0,670246,0,Regular,Female,Yes,No,No,10000,26,536,536,bad,bad
Aykent (005091),Lagos,Kosofe,Alakpere,526,562,526,4435665,4939305,4435665,Regular,Male,Yes,No,No,3439.4955,1,1169,1169,good,bad
Goldenblessing (006179),Anambra,Onitsha South,Owerri Road,141,162,141,789500,1260779,789500,Regular,Female,Yes,No,No,3052.82,2,1049,1049,good,bad
Dushtypos (013407),Enugu,Enugu East,Trans-Ekulu,381,392,381,2467650,2469289,2467650,Regular,Male,Yes,No,No,24678.95357,489,497,497,good,good
SABIMEN1591 (013949),Lagos,Mushin-Main,Mushin,563,585,563,1625540,1563174,1563174,Regular,Male,Yes,No,No,23971.6496,3,476,476,good,bad
Hpconceptpos (015962),Lagos,Alimosho 1,Alagbado,447,372,372,4233865,3803994,3803994,Regular,Male,Yes,No,No,775.29,51,465,465,good,good
Sabimen179 (011100),Lagos,Ajegunle,Apapa,394,368,368,1861170,2292010,1861170,Regular,Male,Yes,No,No,13485.1925,14,543,543,good,good
SABIMEN1309 (011285),Lagos,Ibeju-Lekki,Ajah,388,355,355,1248460,1224430,1224430,Regular,Female,Yes,No,No,42147.56,9,535,535,good,good
POAJVENTURESPOS (006427),Lagos,Alimosho 2,Ikotun,0,30,0,0,264701,0,Regular,Male,No,No,No,-3971.35,488,44095,987,bad,bad
Sophiventures (003431),Federal Capital Territory,Gwarimpa,Gwarinpa Fed. Housing,386,434,386,3161600,3904053,3161600,Regular,Female,Yes,No,No,1907.108,7,1314,1314,good,good
SABIMEN2666 (014625),Nasarawa,Keffi,Tunayi,137,153,137,405300,561839,405300,Regular,Female,Yes,No,No,667.615,29,465,465,good,good
faithbizzpos (008743),Delta,Warri south,NPA,499,606,499,1976130,4809331,1976130,Regular,Male,Yes,No,No,-3080.95143,142,697,697,bad,bad
Alexzemapos (019536),Lagos,Alimosho 1,Egbeda,822,756,756,5056085,5691364,5056085,Regular,Male,Yes,No,No,-950,38,326,326,bad,bad
marvelviepos (012902),Delta,Oshimili North,Interbau/Okpanam Road,378,408,378,2464045,2841442,2464045,Regular,Male,Yes,No,No,240487.45,23,507,507,good,good
Sabimen3548 (015140),Lagos,Lagos Island,Obalende,597,622,597,2578405,2684569,2578405,Regular,Male,Yes,No,No,54.07,26,458,458,good,good
ciobynoglobal (003820),Anambra,Idemili North,Obosi,864,837,837,3819740,3724633,3724633,Regular,Female,Yes,No,No,68949.2425,0,1292,1292,good,bad
Gbanj2018 (003303),Edo,Ikpoba Okha,Agbor Road,618,571,571,1697575,1462096,1462096,Regular,Male,Yes,No,No,54626.62857,0,1080,1322,good,bad
Heritol (003834),Lagos,Alimosho 1,Ayobo,560,727,560,2488110,5552279,2488110,Regular,Female,Yes,No,No,101966.4946,1,1291,1291,good,bad
Ogechi1pos (018842),Lagos,Oshodi-Main,Okota,246,208,208,1530501,1496875,1496875,Regular,Male,Yes,No,No,51930.17294,0,343,343,good,bad
OmegafcPos (012903),Rivers,Ikwerre,Igwuruta,477,493,477,2063640,2520364,2063640,Regular,Male,Yes,No,No,45825.525,20,507,507,good,good
TechCommunication (004787),Katsina,Funtua,0,978,1062,978,2752130,3051471,2752130,Regular,Male,Yes,No,No,74227.93895,1,1170,1214,good,bad
olajumokepos (011855),Lagos,Ifako Ijaiye,Ijaiye,798,751,751,5749870,4782855,4782855,Regular,Male,Yes,No,No,104879.75,18,551,551,good,good
Okonette (006757),Cross River,Akpabuyo,0,254,300,254,2495110,2072276,2072276,Regular,Female,Yes,No,No,14034.07,12,805,805,good,good
HELLEN18POS (009106),Lagos,Ojo,Alaba Int,139,168,139,869110,1069458,869110,Regular,Female,Yes,No,No,3644.07857,3,689,689,good,bad
ENATEL (002789),Anambra,Onitsha South,Upper Iweka,511,452,452,1305450,1199679,1199679,Regular,Male,Yes,No,No,35091.84714,0,612,1377,good,bad
H4business3 (002163),Lagos,Apapa,Apapa,266,276,266,1399885,1306787,1306787,Regular,Male,Yes,No,No,-28.57143,21,1440,1440,bad,bad
SABIMEN2330 (014457),Niger,Suleja,Suleja,441,507,441,3255600,3948291,3255600,Regular,Male,Yes,No,No,9557.68,2,468,468,good,bad
sabimen1493 (010580),Lagos,Ikeja,Omole,243,229,229,1326330,1172242,1172242,Regular,Male,Yes,No,No,1021.18254,3,532,532,good,bad
Chiomspos (020448),Oyo,Ibadan South West,Apata,723,616,616,5062585,4714716,4714716,Regular,Female,Yes,No,No,19492.075,2,285,285,good,bad
SABIMEN3073 (015255),Rivers,Port Harcourt,Old GRA,0,184,0,0,620857,0,Regular,Male,Yes,No,No,20018.5,181,460,460,bad,bad
Realcom1POS (011932),Lagos,Kosofe,Ikosi,340,332,332,2031710,2326840,2031710,Regular,Male,Yes,No,No,71197.866,19,531,531,good,good
SABIMEN2283 (015779),Niger,Suleja,Suleja,210,317,210,1795050,1919776,1795050,Regular,Female,Yes,No,No,20899.535,2,468,468,good,bad
OROGEPOS (016815),Lagos,IKorodu,Ijede,495,491,491,1526435,1461050,1461050,Regular,Female,Yes,No,No,77779.696,1,430,430,good,bad
Pageese (006194),Abia,Umuahia North,Umuahia,85,191,85,268790,637210,268790,Regular,Male,Yes,No,No,509.04,13,1048,1048,good,good
faithpraise45pos (001156),Lagos,Alimosho 2,Ikotun,298,309,298,2059445,1983553,1983553,Regular,Female,Yes,No,No,80427.83893,45,427,1629,good,good
dlight (003775),Lagos,Oshodi-Main,Okota,858,801,801,5236320,5898110,5236320,Regular,Female,Yes,No,No,42484.2725,0,1293,1293,good,bad
SABIMEN501 (011573),Lagos,IKorodu,Agric,356,328,328,2168340,1970563,1970563,Regular,Male,Yes,No,No,166.4,14,539,539,good,good
Totalteche14pos (012015),Lagos,Alimosho 1,Isheri,145,149,145,1775320,1556114,1556114,Regular,Female,Yes,No,No,36960.65418,434,529,529,good,good
choksman (003822),Enugu,Enugu East,Abakpa,0,356,0,0,771799,0,Regular,Female,Yes,No,No,-4800.59429,180,1292,1292,bad,bad
NEWFRANCOPOS (011926),Lagos,Kosofe,Ikosi,0,573,0,0,752262,0,Regular,Male,Yes,No,No,-2665.0665,186,531,531,bad,bad
Habdhikkypos (022306),Federal Capital Territory,Kubwa,Kubwa Pase 2 Site 2,0,56,0,0,463333,0,Regular,Male,Yes,No,No,809.345,26,251,251,bad,bad
SABIMEN1564 (013832),Lagos,Yaba-Main,Yaba,423,453,423,1857125,1898169,1857125,Regular,Male,Yes,No,No,25812.0975,17,476,476,good,good
DamboaPOS (022632),Bornu,Maiduguri,0,3,63,3,13090,1555930,13090,Regular,Male,Yes,No,No,-3708,44095,247,247,bad,bad
sabimen310 (010863),Lagos,Ojo,Iba,271,272,271,2647850,3485325,2647850,Regular,Male,Yes,No,No,13860.6,230,543,543,good,good
PapamiePos (012915),Lagos,Lagos Island,Victoria Island,510,527,510,3336869,3341162,3336869,Regular,Male,Yes,No,No,30209.995,84,504,504,good,good
Gracecooperative (002957),Federal Capital Territory,Kubwa,Bwari,612,653,612,5407505,5369960,5369960,Regular,Female,Yes,No,No,209671.1425,120,742,1347,good,good
kemzzy (005932),Lagos,IKorodu,Igbogbo,561,520,520,1705435,1485211,1485211,Regular,Female,Yes,No,No,19068.415,0,1068,1068,good,bad
odama1POS (011985),Ekiti,Ado Ekiti,Ikare,578,458,458,3072810,2749715,2749715,Regular,Male,Yes,No,No,42319.00357,44095,546,546,good,good
Azuplazapos (012978),Federal Capital Territory,Gwagwalada,Gwagwalada,530,638,530,2119661,2916004,2119661,Regular,Female,Yes,No,No,2070.0935,137,497,497,good,good
SABIMEN500 (011572),Lagos,IKorodu,Ijede,583,581,581,3183420,3178124,3178124,Regular,Male,Yes,No,No,18589.55,5,539,539,good,bad
OghorPos (009703),Delta,Warri south west,Orugbo,545,484,484,4492810,3804056,3804056,Regular,Male,Yes,No,No,78765.115,44095,545,545,good,good
STANJEPOS (016691),Lagos,Oshodi-Main,Okota,379,316,316,1677900,1528756,1528756,Regular,Female,Yes,No,No,231876.3725,4,445,445,good,bad
sabimen2978 (015242),Rivers,Port Harcourt,Rumukalagbor,0,48,0,0,314646,0,Regular,Male,Yes,No,No,48,298,461,461,bad,bad
sabimen3981 (016592),Lagos,Oshodi-Main,Ajao estate,285,382,285,1166710,1247224,1166710,Regular,Male,Yes,No,No,8603.615,0,437,437,good,bad
Firstmale (001089),Lagos,Shomolu,Anthony,392,404,392,1721865,1506941,1506941,Regular,Female,Yes,No,No,68194.369,1,1643,1643,good,bad
Lakesin (022055),Lagos,Ikeja,Computer Village,86,116,86,1082450,1015926,1015926,Regular,Male,Yes,No,No,74924.55,0,254,254,good,bad
Binetresources (000677),Lagos,Oshodi-Main,Ajao estate,250,197,197,1157950,1129113,1129113,Regular,Male,Yes,No,No,21576.02143,4,1713,1713,good,bad
SABIMEN2278 (015773),Niger,Suleja,Suleja,31,228,31,84289,727644,84289,Regular,Male,Yes,No,No,0.0035,156,468,468,good,good
beecompos (012600),Lagos,IKorodu,Idiroko,260,249,249,3679450,4408145,3679450,Regular,Male,Yes,No,No,155.7375,59,497,497,good,good
SABIMEN586 (011690),Lagos,Alimosho 1,Ayobo,401,375,375,1731590,2272474,1731590,Regular,Male,Yes,No,No,36166.1175,65,539,539,good,good
sabimen2048 (014254),Lagos,Kosofe,Ketu,222,241,222,1727750,2042141,1727750,Regular,Male,Yes,No,No,1685.54,8,469,469,good,good
eseoghene2000pos (010220),Lagos,Kosofe,Mile12,69,205,69,362550,1014343,362550,Regular,Male,Yes,No,No,40.37849,175,566,566,good,good
SABIMEN3086 (015333),Rivers,Port Harcourt,Borokiri,0,68,0,0,341775,0,Regular,Male,Yes,No,No,20000.25,183,460,460,bad,bad
vicene (003526),Anambra,Onitsha South,Fegge,701,678,678,1943030,2037298,1943030,Regular,Male,Yes,No,No,64495.43816,2,1306,1306,good,bad
Arakishops (001988),Lagos,Apapa,Apapa,1060,1160,1060,1773245,1757579,1757579,Regular,Male,Yes,No,No,52800.71643,0,1460,1460,good,bad
Aprilfirst1 (003060),Lagos,Ikeja,Oregun,249,218,218,918830,924393,918830,Regular,Male,Yes,No,No,-1.14529,3,1342,1342,bad,bad
benyaalbarkaapp (020307),Lagos,Shomolu,Onipanu,84,82,82,3423530,2773287,2773287,Regular,Female,Yes,No,No,353.08,1,293,293,good,bad
Sabimen145 (011008),Lagos,Ajegunle,Ajegunle,54,59,54,726640,898371,726640,Regular,Male,Yes,No,No,582.615,10,543,543,good,good
ONOSTICAL (003760),Lagos,Apapa,Olodi,130,125,125,1196280,1069388,1069388,Regular,Female,Yes,No,No,21107.63857,3,621,1286,good,bad
OLAMICONPOS (017087),Lagos,Ifako Ijaiye,Iju,721,652,652,2891405,3095235,2891405,Regular,Female,Yes,No,No,49654.615,29,404,404,good,good
Com22 (000857),Lagos,Shomolu,Anthony,526,533,526,1590775,1529102,1529102,Regular,Female,Yes,No,No,1178232.031,14,1666,1666,good,good
oluwolepos (010407),Lagos,Kosofe,Kosofe,62,61,61,586380,888269,586380,Regular,Male,Yes,No,No,-258.25543,27,564,564,bad,bad
Sabimen3335 (016144),Osun,Osogbo,0,495,416,416,3092720,2575465,2575465,Regular,Male,Yes,No,No,381.36,195,459,459,good,good
SABIMEN1796 (014195),Lagos,Alimosho 1,Iyana Ipaja,930,811,811,1695256,2153575,1695256,Regular,Male,Yes,No,No,37627.425,1,472,472,good,bad
SABIMEN2519 (014584),Kano,Fagge 2 (Sabon Gari),Sabon Gari,538,519,519,2436888,2444863,2436888,Regular,Female,Yes,No,No,0.641,88,466,466,good,good
DHIENSAT (003919),Delta,Ughelli south,Effurun Oto,0,109,0,0,255369,0,Regular,Male,Yes,No,No,17958.4975,233,1285,1285,bad,bad
Dandaveng (001435),Enugu,Enugu East,Abakpa,468,449,449,1440085,1332227,1332227,Regular,Male,Yes,No,No,-149.33442,45,1585,1585,bad,bad
funtubiz (006552),Lagos,Mushin-Main,Mushin,514,586,514,2472435,3782490,2472435,Regular,Male,Yes,No,No,222767.1225,0,958,958,good,bad
patrinuelpos (009482),Federal Capital Territory,Airport Road/Lugbe,Lugbe Central,1116,1175,1116,7608650,9552547,7608650,Regular,Female,Yes,No,No,20923.3125,9,656,656,good,good
Sabimen911 (011460),Lagos,Oshodi-Main,Isolo,294,375,294,2196440,4367462,2196440,Regular,Male,Yes,No,No,1078.565,1,536,536,good,bad
OnaArapos (013644),Ogun,Ifo,0,615,549,549,5287938,4739808,4739808,Regular,Female,Yes,No,No,182547.5016,305,370,493,good,good
Mightyjah (002319),Lagos,Sango,Sango,351,528,351,617005,901415,617005,Regular,Male,Yes,No,No,-194.182,5,1398,1427,bad,bad
sabimen2644 (014820),Federal Capital Territory,Garki,Garki Area 1,115,184,115,293900,460687,293900,Regular,Male,Yes,No,No,70296.605,2,465,465,good,bad
IfeanyiPOS (012499),Enugu,Enugu South,Ugwuaji,941,845,845,2243590,3035569,2243590,Regular,Male,Yes,No,No,510.38357,76,531,531,good,good
PORSHMY (009051),Lagos,Surulere,Masha,637,577,577,1423080,2067625,1423080,Regular,Female,Yes,No,No,732.385,3,691,691,good,bad
Belimarsh22 (005977),Abia,Umuahia South,Abam,295,292,292,1675850,1481560,1481560,Regular,Female,Yes,No,No,78859.42375,0,1063,1063,good,bad
Jovitapos2 (010317),Anambra,Aguata,Amesi,1037,828,828,16192467,14697888,14697888,Regular,Female,Yes,No,No,4934.064,39,553,553,good,good
Ishowpos (019974),Ogun,Abeokuta South,Ibara,125,138,125,1562035,1530213,1530213,Regular,Male,Yes,No,No,5511.43429,311,311,311,good,good
trendysignaturePOS (012473),Lagos,Oshodi-Main,Isolo,137,127,127,555990,622737,555990,Regular,Female,Yes,No,No,-3159.6125,129,531,531,bad,bad
WHEELPOS (016693),Lagos,Ifako Ijaiye,Ijaiye,319,391,319,1664890,3192588,1664890,Regular,Female,Yes,No,No,19213.93,10,445,445,good,good
SABIMEN2337 (014550),Niger,Suleja,Suleja,0,96,0,0,524775,0,Regular,Male,Yes,No,No,2071.1,2,468,468,bad,bad
Benedict (004510),Lagos,Ibeju-Lekki,Ikate elegunshi,297,314,297,1782720,2001191,1782720,Regular,Male,Yes,No,No,16763.91507,1,1237,1237,good,bad
GEOIDSAT2 (003765),Lagos,Alimosho 1,Ipaja,0,26,0,0,237457,0,Regular,Male,Yes,No,No,-0.00143,68,1286,1286,bad,bad
Adepos (012038),Sokoto,Sokoto North,0,0,128,0,0,922599,0,Regular,Male,Yes,No,No,-566.05714,22,432,542,bad,bad
AGBARA08POS (009287),Ekiti,Ado Ekiti,Adebayo,238,254,238,1234130,1213749,1213749,Regular,Female,Yes,No,No,441.495,553,665,665,good,good
sabimen1454 (010752),Lagos,Yaba-Main,Yaba,489,360,360,1659501,1598202,1598202,Regular,Male,Yes,No,No,29.79974,191,532,532,good,good
mansa66pos (008755),Lagos,Alimosho 1,Ayobo,333,363,333,1796120,2248198,1796120,Regular,Male,Yes,No,No,79603.0425,1,699,699,good,bad
EfeomoPos (012948),Lagos,Ifako Ijaiye,Ojokoro,397,498,397,6760080,6673502,6673502,Regular,Male,Yes,No,No,40.15757,32,504,504,good,good
morakventures (003612),Ogun,Obafemi-Owode,Ibafo,285,272,272,1649130,1744092,1649130,Regular,Male,Yes,No,No,6645.7,343,1299,1299,good,good
Bishopkadesh (004422),Abia,Umuahia South,Obioma-Ngwa,86,128,86,1648501,1458129,1458129,Regular,Male,Yes,No,No,7341.14944,3,1249,1249,good,bad
Fieldco11 (003860),Lagos,Lagos Island,Victoria Island,112,104,104,76198,298565,76198,Regular,Male,Yes,No,No,-94.13485,7,202,1288,bad,bad
sabimen3211 (015857),Plateau,Jos North,0,440,451,440,2594790,2956600,2594790,Regular,Male,Yes,No,No,741.2175,55,459,459,good,good
chachapos (015755),Lagos,Oshodi-Main,Ajao estate,205,207,205,1647410,2146882,1647410,Regular,Female,Yes,No,No,220625.9107,3,214,469,good,bad
Peopleforte2app (017143),Lagos,Shomolu,Fola Agoro,4,110,4,11200,827573,11200,Regular,Female,Yes,No,No,5287.33,175,402,402,bad,bad
OkoroCPos (013215),Delta,Ughelli north,Ughelli,63,61,61,1148420,1197174,1148420,Regular,Male,Yes,No,No,67.85714,44095,501,501,good,good
WhalesenergyPos (017908),Lagos,Alimosho 1,Egbeda,0,75,0,0,437546,0,Regular,Female,Yes,No,No,-4294.6,238,383,383,bad,bad
SABIMEN442 (010753),Lagos,Yaba-Main,Yaba,308,309,308,1246760,1172981,1172981,Regular,Male,Yes,No,No,35860.39,1,542,542,good,bad
vimaelectronic (004563),Abia,Aba South,Ndoki Road,934,940,934,1507050,1560064,1507050,Regular,Male,Yes,No,No,75820.2621,0,1236,1236,good,bad
speedtercom (016941),Lagos,Alimosho 1,Abule Egba,108,147,108,863490,1272042,863490,Regular,Female,Yes,No,No,4180.315,217,413,413,good,good
GreatGodpos (011766),Lagos,Ojo,Iyana shasi,302,410,302,3439610,5241850,3439610,Regular,Male,Yes,No,No,-1059.66728,439,192,552,bad,bad
sabimen2252 (014788),Federal Capital Territory,Kubwa,Bwari,602,599,599,1587345,1616442,1587345,Regular,Male,Yes,No,No,309.1075,2,468,468,good,bad
Gbpower (001481),Anambra,Nnewi South,Amichi,822,804,804,1937700,1782238,1782238,Regular,Male,Yes,No,No,30529.19286,2,1582,1582,good,bad
SABIMEN1347 (011374),Lagos,Epe,Epe,554,530,530,1627350,1720604,1627350,Regular,Female,Yes,No,No,19.9775,69,535,535,good,good
SABIMEN424 (010674),Lagos,Ikeja,Alausa,989,1001,989,5785610,6656184,5785610,Regular,Female,Yes,No,No,10973.705,14,542,542,good,good
whitersam (005600),Kano,Fagge 2 (Sabon Gari),Sabon Gari,639,502,502,1406607,1193565,1193565,Regular,Male,Yes,No,No,40125.47,4,1088,1088,good,bad
Maffallink (009407),Lagos,Alimosho 1,Egbeda,648,507,507,4186945,4056044,4056044,Regular,Male,Yes,No,No,13550.375,169,663,663,good,good
Sabimen3693 (015526),Lagos,Ojo,Alaba Int,471,393,393,1805725,1566978,1566978,Regular,Male,Yes,No,No,2973.6385,2,438,438,good,bad
BolangadentPOS (010358),Lagos,Alimosho 1,Ipaja,158,153,153,911650,976994,911650,Regular,Female,Yes,No,No,76825.98875,19,563,563,good,good
Nicecommpos (013501),Kano,Kano Municipal,Kano City,2307,2409,2307,2829681,2996063,2829681,Regular,Male,Yes,No,No,7502.19933,1,496,496,good,bad
SuleApp (009434),Lagos,Surulere,Iganmu,33,85,33,73900,409873,73900,Regular,Male,Yes,No,No,146852.543,4,661,661,good,bad
sabimen2990 (015260),Rivers,Port Harcourt,Ikoku,599,592,592,1614800,1694597,1614800,Regular,Male,Yes,No,No,65509.6525,2,461,461,good,bad
Chriswappos (020062),Abia,Aba North,Osusu,332,400,332,1614570,4005998,1614570,Regular,Male,Yes,No,No,163679.246,2,306,306,good,bad
Alidurupos (013565),Lagos,Kosofe,Ikosi,854,1111,854,5700620,5075798,5075798,Regular,Male,Yes,No,No,20825.80727,0,494,494,good,bad
SABIMEN1672 (013837),Lagos,Mushin-Main,Mushin,83,150,83,177200,554879,177200,Regular,Female,Yes,No,No,2205.37,37,476,476,good,good
Amadi2 (002873),Lagos,Oshodi-Main,Isolo,0,76,0,0,515118,0,Regular,Male,Yes,No,No,-5078.208,202,1356,1356,bad,bad
sabimen1488 (010618),Lagos,Shomolu,Bariga,598,580,580,2320390,2276583,2276583,Regular,Male,Yes,No,No,1.795,28,532,532,good,good
Opeyemi7560 (006555),Osun,Osogbo,0,443,425,425,2750460,3479039,2750460,Regular,Male,Yes,No,No,7572.49286,222,957,957,good,good
ABDULLAH01 (008204),Lagos,Alimosho 1,Isheri,330,327,327,1204525,1145704,1145704,Regular,Male,Yes,No,No,11396.13,14,728,728,good,good
Saintchukspos (018850),Federal Capital Territory,Kubwa,Bwari,506,553,506,1409515,1553652,1409515,Regular,Male,Yes,No,No,36280.66,2,343,343,good,bad
cworth6 (006172),Ebonyi,Abakaliki,Gunning Road,585,611,585,2204170,2145434,2145434,Regular,Female,Yes,No,No,42021.56,4,1049,1049,good,bad
247digitalpos (009461),Lagos,Sango,Sango,427,465,427,1883000,1886873,1883000,Regular,Male,Yes,No,No,26350.8475,1,657,657,good,bad
sabimen885 (011324),Lagos,Oshodi-Main,Isolo,727,758,727,4413035,4185892,4185892,Regular,Male,Yes,No,No,73.675,1,536,536,good,bad
IsiakaPos (008766),Lagos,IKorodu,Oginjo,266,219,219,938450,1056144,938450,Regular,Female,Yes,No,No,22195.19,1,699,699,good,bad
Sabimen268 (010927),Lagos,Ojo,Abule Osun,295,302,295,2816060,3028428,2816060,Regular,Male,Yes,No,No,39392.765,1,543,543,good,bad
sabimen2190 (014101),Federal Capital Territory,Kubwa,Bwari,538,428,428,1168906,905484,905484,Regular,Male,Yes,No,No,23233.2506,20,468,468,good,good
Christpetpos (015710),Anambra,Ogbaru,Atani,140,145,140,803190,862769,803190,Regular,Male,Yes,No,No,-3081.15389,140,473,473,bad,bad
baba90pos (013379),Lagos,Oshodi-Main,Mafoluku,1141,1102,1102,7067260,8284508,7067260,Regular,Female,Yes,No,No,308362.9905,6,497,497,good,bad
sabimen3130 (015920),Rivers,Port Harcourt,Ogunabali,0,48,0,0,300719,0,Regular,Female,Yes,No,No,17.75,347,460,460,bad,bad
ZubairuPos (013334),Federal Capital Territory,Garki,Garki Area 2,45,74,45,143820,440962,143820,Regular,Male,Yes,No,No,2233.867,2,501,501,good,bad
Sabimen649 (012111),Lagos,Alimosho 1,Egbeda,736,657,657,3631910,3236936,3236936,Regular,Male,Yes,No,No,6806.54876,1,538,538,good,bad
sabimen3725 (016380),Lagos,Kosofe,Ketu,88,124,88,288106,450973,288106,Regular,Male,Yes,No,No,42698.9,3,438,438,good,bad
excellentven2Pos (009268),Ogun,Otta,Otta,472,582,472,7756340,10176715,7756340,Regular,Male,Yes,No,No,160883.75,397,668,668,good,good
Chimanda (005178),Lagos,Ojo,Alaba Int,0,90,0,0,681700,0,Regular,Female,Yes,No,No,-4115,182,1161,1161,bad,bad
sabimen889 (011354),Lagos,Oshodi-Main,Isolo,620,686,620,2628700,2972609,2628700,Regular,Male,Yes,No,No,35393.275,5,536,536,good,bad
A3inventionpos2 (019537),Lagos,IKorodu,Agric,324,284,284,1561160,1483596,1483596,Regular,Male,Yes,No,No,76077.145,16,326,326,good,good
Kennyesan (008993),Lagos,Ifako Ijaiye,Ifako,411,416,411,1114490,1202387,1114490,Regular,Male,Yes,No,No,26064.915,1,693,693,good,bad
tiwatopelopos (016701),Lagos,Alimosho 1,Ayobo,88,172,88,976384,1708905,976384,Regular,Female,Yes,No,No,94072.55,11,445,445,good,good
Dcdelta10 (002735),Delta,Sapele,Okuodede,295,291,291,1043100,1013239,1013239,Regular,Male,Yes,No,No,19545.3465,2,1397,1397,good,bad
Sscomms2 (004474),Federal Capital Territory,Airport Road/Lugbe,Lugbe Central,536,510,510,1421400,1380256,1380256,Regular,Female,Yes,No,No,12776.28,2,1076,1245,good,bad
